DESCRIPTION,WIDTH,DEPTH,WEBTHICK,FLANGETHICK,ROOTRADIUS,TOERADIUS
200x200x26 EA,200,200,26,26,18,5
200x200x20 EA,200,200,20,20,18,5
200x200x18 EA,200,200,18,18,18,5
200x200x16 EA,200,200,16,16,18,5
200x200x13 EA,200,200,13,13,18,5
150x150x19 EA,150,150,19,19,13,5
150x150x16 EA,150,150,15.8,15.8,13,5
150x150x12 EA,150,150,12,12,13,5
150x150x10 EA,150,150,9.5,9.5,13,5
125x125x16 EA,125,125,15.8,15.8,10,5
125x125x12 EA,125,125,12,12,10,5
125x125x10 EA,125,125,9.5,9.5,10,5
125x125x8 EA,125,125,7.8,7.8,10,5
100x100x12 EA,100,100,12,12,8,5
100x100x10 EA,100,100,9.5,9.5,8,5
100x100x8 EA,100,100,7.8,7.8,8,5
100x100x6 EA,100,100,6,6,8,5
90x90x10 EA,90,90,9.5,9.5,8,5
90x90x8 EA,90,90,7.8,7.8,8,5
90x90x6 EA,90,90,6,6,8,5
75x75x10 EA,75,75,9.5,9.5,8,5
75x75x8 EA,75,75,7.8,7.8,8,5
75x75x6 EA,75,75,6,6,8,5
75x75x5 EA,75,75,4.6,4.6,8,5
65x65x10 EA,65,65,9.5,9.5,6,3
65x65x8 EA,65,65,7.8,7.8,6,3
65x65x6 EA,65,65,6,6,6,3
65x65x5 EA,65,65,4.6,4.6,6,3
55x55x6 EA,55,55,6,6,6,3
55x55x5 EA,55,55,4.6,4.6,6,3
50x50x8 EA,50,50,7.8,7.8,6,3
50x50x6 EA,50,50,6,6,6,3
50x50x5 EA,50,50,4.6,4.6,6,3
50x50x3 EA,50,50,3,3,6,3
45x45x6 EA,45,45,6,6,5,3
45x45x5 EA,45,45,4.6,4.6,5,3
45x45x3 EA,45,45,3,3,5,3
40x40x6 EA,40,40,6,6,5,3
40x40x5 EA,40,40,4.6,4.6,5,3
40x40x3 EA,40,40,3,3,5,3
30x30x6 EA,30,30,6,6,5,3
30x30x5 EA,30,30,4.6,4.6,5,3
30x30x3 EA,30,30,3,3,5,3
25x25x6 EA,25,25,6,6,5,3
25x25x5 EA,25,25,4.6,4.6,5,3
25x25x3 EA,25,25,3,3,5,3
150x100x12 UA,100,150,12,12,10,5
150x100x10 UA,100,150,9.5,9.5,10,5
150x90x16 UA,90,150,15.8,15.8,10,5
150x90x12 UA,90,150,12,12,10,5
150x90x10 UA,90,150,9.5,9.5,10,5
150x90x8 UA,90,150,7.8,7.8,10,5
125x75x12 UA,75,125,12,12,8,5
125x75x10 UA,75,125,9.5,9.5,8,5
125x75x8 UA,75,125,7.8,7.8,8,5
125x75x6 UA,75,125,6,6,8,5
100x75x10 UA,75,100,9.5,9.5,8,5
100x75x8 UA,75,100,7.8,7.8,8,5
100x75x6 UA,75,100,6,6,8,5
75x50x8 UA,50,75,7.8,7.8,7,3
75x50x6 UA,50,75,6,6,7,3
75x50x5 UA,50,75,4.6,4.6,7,3
65x50x8 UA,50,65,7.8,7.8,6,3
65x50x6 UA,50,65,6,6,6,3
65x50x5 UA,50,65,4.6,4.6,6,3
