DESCRIPTION,WIDTH,DEPTH,FLANGETHICK,ROOTCHAMFER,WEBTHICK
1200WB455,500,1200,40,6,16
1200WB423,500,1192,36,6,16
1200WB392,500,1184,32,6,16
1200WB342,400,1184,32,6,16
1200WB317,400,1176,28,6,16
1200WB278,350,1170,25,6,16
1200WB249,275,1170,25,6,16
1000WB322,400,1024,32,6,16
1000WB296,400,1016,28,6,16
1000WB258,350,1010,25,6,16
1000WB215,300,1000,20,6,16
900WB282,400,924,32,6,12
900WB257,400,916,28,6,12
900WB218,350,910,25,6,12
900WB175,300,900,20,6,12
800WB192,300,816,28,6,10
800WB168,275,810,25,6,10
800WB146,275,800,20,6,10
800WB122,250,792,16,6,10
700WB173,275,716,28,6,10
700WB150,250,710,25,6,10
700WB130,250,700,20,6,10
700WB115,250,692,16,6,10
500WC440,500,480,40,6,40
500WC414,500,480,40,6,32
500WC383,500,472,36,6,32
500WC340,500,514,32,6,25
500WC290,500,506,28,6,20
500WC267,500,500,25,6,20
500WC228,500,490,20,6,20
400WC361,400,430,40,6,40
400WC328,400,430,40,6,28
400WC303,400,422,36,6,28
400WC270,400,414,32,6,25
400WC212,400,400,25,6,20
400WC181,400,390,20,6,20
400WC144,400,382,16,6,16
350WC280,350,355,40,6,28
350WC258,350,347,36,6,28
350WC230,350,339,32,6,25
350WC197,350,331,28,6,20
